Time (s),Temperature (C),Position (m)
7700,77.4,0.158
7710,77.4,0.158
7720,77.4,0.162
7730,77.4,0.161
7740,77.6,0.161
7750,77.5,0.16
7760,77.5,0.155
7770,77.5,0.157
7780,77.6,0.157
7790,77.4,0.155
7800,77.5,0.156
7810,77.4,0.153
7820,77.4,0.158
7830,77.4,0.154
7840,77.3,0.156
7850,77.5,0.158
7860,77.3,0.161
7870,77.4,0.155
7880,77.3,0.159
7890,77.4,0.156
7900,77.4,0.154
7910,77.6,0.157
7920,77.5,0.159
7930,77.8,0.159
7940,77.7,0.159
7950,77.8,0.154
7960,77.6,0.157
7970,77.7,0.155
7980,77.7,0.154
7990,77.7,0.154
8000,77.6,0.16
8010,77.7,0.164
8020,77.6,0.144
8030,77.7,0.156
8040,77.6,0.155
8050,77.6,0.154
8060,77.6,0.158
8070,77.7,0.153
8080,77.7,0.155
8090,77.7,0.161
8100,77.8,0.153
8110,77.8,0.153
8120,77.9,0.154
8130,77.9,0.159
8140,77.9,0.158
8150,78.2,0.154
8160,78.1,0.152
8170,78.1,0.161
8180,78.1,0.157
8190,78,0.159
8200,78.1,0.155
8210,78,0.157
8220,78,0.161
8230,78,0.155
8240,77.9,0.157
8250,78.1,0.156
8260,77.9,0.156
8270,77.9,0.157
8280,78,0.155
8290,78.1,0.156
8300,78.1,0.157
8310,78.1,0.155
8320,78.2,0.158
8330,78.3,0.155
8340,78.3,0.155
8350,78.3,0.156
8360,78.2,0.164
8370,78.2,0.156
8380,78.2,0.154
8390,78.2,0.177
8400,78.2,0.158
8410,78.3,0.156
8420,78.2,0.155
8430,78.1,0.153
8440,78.2,0.157
8450,78.2,0.157
8460,78.2,0.159
8470,78.2,0.163
8480,78.2,0.158
8490,78.2,0.156
8500,78.2,0.156
8510,78.2,0.157
8520,78.3,0.158
8530,78.3,0.164
8540,78.3,0.159
8550,78.3,0.159
8560,78.3,0.156
8570,78.2,0.158
8580,78.2,0.161
8590,78.1,0.159
8600,78,0.158
8610,78.1,0.159
8620,78,0.157
8630,78,0.159
8640,77.9,0.16
8650,78,0.163
8660,78,0.164
8670,78,0.16
8680,78,0.16
8690,78.1,0.159
8700,78.1,0.164
8710,78.1,0.158
8720,78.2,0.165
8730,78,0.165
8740,78.1,0.16
8750,78.1,0.159
8760,78,0.158
8770,77.9,0.159
8780,77.9,0.161
8790,77.9,0.16
8800,77.9,0.159
8810,77.9,0.158
8820,77.8,0.157
8830,77.8,0.16
8840,77.8,0.158
8850,77.9,0.16
8860,77.9,0.16
8870,78,0.161
8880,78,0.164
8890,78,0.159
8900,78,0.162
8910,77.9,0.16
8920,77.9,0.158
8930,77.9,0.158
8940,77.9,0.157
8950,77.9,0.161
8960,77.8,0.159
8970,77.8,0.161
8980,77.8,0.159
8990,77.8,0.162
9000,77.7,0.159
9010,77.9,0.159
9020,77.8,0.158
9030,77.7,0.158
9040,77.8,0.16
9050,77.9,0.156
9060,77.9,0.163
9070,77.9,0.158
9080,78,0.159
9090,77.9,0.162
9100,78,0.163
9110,77.9,0.157
9120,78,0.159
9130,78,0.16
9140,78,0.158
9150,78,0.163
9160,77.8,0.16
9170,77.8,0.163
9180,77.9,0.159
9190,77.9,0.16
9200,77.9,0.16
9210,78,0.16
9220,77.9,0.156
9230,78,0.158
9240,78,0.159
9250,78.2,0.156
9260,78.2,0.155
9270,78.2,0.163
9280,78.1,0.157
9290,78.2,0.163
9300,78.2,0.16
9310,78.2,0.159
9320,78.2,0.156
9330,78.2,0.16
9340,78.2,0.158
9350,78.1,0.158
9360,78.2,0.162
9370,78.1,0.162
9380,78.2,0.163
9390,78.1,0.155
9400,78.1,0.163
9410,78.2,0.162
9420,78.3,0.162
9430,78.2,0.161
9440,78.3,0.159
9450,78.5,0.157
9460,78.5,0.159
9470,78.5,0.159
9480,78.5,0.164
9490,78.5,0.162
9500,78.5,0.158
9510,78.5,0.163
9520,78.5,0.164
9530,78.5,0.153
9540,78.5,0.163
9550,78.4,0.159
9560,78.5,0.161
9570,78.5,0.16
9580,78.5,0.164
9590,78.5,0.156
9600,78.5,0.156
9610,78.5,0.161
9620,78.6,0.16
9630,78.5,0.158
9640,78.6,0.161
9650,78.6,0.165
9660,78.6,0.162
9670,78.8,0.159
9680,78.6,0.162
9690,78.6,0.161
9700,78.6,0.155
9710,78.5,0.159
9720,78.5,0.162
9730,78.5,0.162
9740,78.5,0.159
9750,78.4,0.158
9760,78.5,0.167
9770,78.5,0.166
9780,78.4,0.164
9790,78.5,0.161
9800,78.5,0.16
9810,78.4,0.162
9820,78.5,0.162
9830,78.5,0.167
9840,78.5,0.163
9850,78.5,0.163
9860,78.5,0.16
9870,78.6,0.163
9880,78.5,0.162
9890,78.5,0.159
9900,78.4,0.164
9910,78.4,0.165
9920,78.4,0.162
9930,78.3,0.167
9940,78.2,0.167
9950,78.1,0.162
9960,78.2,0.163
9970,78.2,0.164
9980,78.2,0.163
9990,78.3,0.205
10000,78.3,0.167
10010,78.3,0.169
10020,78.3,0.162
10030,78.4,0.168
10040,78.4,0.162
10050,78.3,0.213
10060,78.3,0.167
10070,78.3,0.16
10080,78.3,0.166
